genreId,genreCat,month,day,year,revenue
18,Drama,9,4,1916,8394751
35,Comedy,2,9,1933,2200000
18,Drama,10,28,1941,6000000
18,Drama,6,1,1945,9132000
18,Drama,11,25,1945,11000000
37,Western,12,31,1946,20400000
37,Western,8,26,1948,9012000
37,Western,10,22,1949,5400000
18,Drama,9,18,1951,8000000
37,Western,3,27,1952,8000000
18,Drama,9,16,1953,36000000
18,Drama,1,9,1955,0
18,Drama,5,30,1956,14400000
18,Drama,3,25,1957,1000000
18,Drama,6,18,1959,12800000
18,Drama,6,19,1960,10400000
18,Drama,9,25,1961,7600000
37,Western,4,22,1962,8000000
18,Drama,1,1,1964,0
37,Western,9,12,1964,14500000
18,Drama,4,22,1965,0
37,Western,12,23,1966,6000000
878,Science Fiction,10,10,1968,2500000
37,Western,7,31,1968,6800000
37,Western,11,6,1968,2620000
27,Horror,10,1,1968,30000000
37,Western,12,21,1968,5321508
35,Comedy,7,25,1969,27000000
18,Drama,5,25,1969,44785053
18,Drama,10,21,1970,0
35,Comedy,4,28,1971,11833696
18,Drama,12,21,1972,0
35,Comedy,8,6,1972,18016290
37,Western,5,23,1973,11000000
37,Western,4,19,1973,15700000
27,Horror,10,1,1974,30859000
35,Comedy,5,21,1975,41833347
18,Drama,11,18,1975,108981275
18,Drama,11,21,1976,117235147
18,Drama,11,1,1976,23689877
35,Comedy,6,17,1976,0
18,Drama,10,2,1977,0
35,Comedy,8,10,1977,0
10749,Romance,7,7,1978,181813770
35,Comedy,7,27,1978,141000000
35,Comedy,10,6,1980,0
18,Drama,9,19,1980,0
35,Comedy,7,25,1980,39846344
27,Horror,2,8,1980,21378361
18,Drama,5,1,1980,0
18,Drama,11,14,1980,23000000
35,Comedy,7,2,1980,83453539
878,Science Fiction,9,1,1980,27107960
14,Fantasy,6,26,1981,14110013
35,Comedy,12,25,1981,0
35,Comedy,11,13,1981,125728258
27,Horror,4,22,1981,0
35,Comedy,6,12,1981,31672907
35,Comedy,7,31,1981,2297493
27,Horror,10,15,1981,29400000
18,Drama,9,18,1981,0
27,Horror,5,1,1981,0
35,Comedy,7,23,1982,69701637
27,Horror,6,4,1982,122200000
35,Comedy,8,13,1982,27092880
18,Drama,12,8,1982,53977250
35,Comedy,4,8,1983,1246141
35,Comedy,6,7,1983,90400000
37,Western,8,19,1983,0
27,Horror,11,14,1984,25504513
18,Drama,6,22,1984,90815558
18,Drama,12,18,1985,146292009
27,Horror,10,31,1985,29999213
18,Drama,12,20,1985,128499205
878,Science Fiction,3,15,1985,0
27,Horror,8,22,1986,8025872
12,Adventure,8,29,1986,0
878,Science Fiction,1,1,1986,4884663
27,Horror,12,31,1986,0
18,Drama,4,23,1986,0
18,Drama,10,7,1986,52293982
35,Comedy,3,20,1987,0
18,Drama,11,5,1987,0
27,Horror,9,11,1987,14564027
27,Horror,5,1,1987,14000000
28,Action,2,26,1988,11806119
18,Drama,4,1,1988,0
35,Comedy,12,9,1988,216614388
18,Drama,12,11,1988,412800000
18,Drama,12,21,1988,3468572
18,Drama,8,12,1988,8373585
18,Drama,8,18,1989,0
35,Comedy,7,21,1989,0
10752,War,12,15,1989,26828365
18,Drama,6,2,1989,235860116
18,Drama,6,30,1989,37295445
35,Comedy,2,16,1989,49797148
27,Horror,1,1,1990,0
35,Comedy,7,27,1990,0
35,Comedy,12,21,1990,201957688
12,Adventure,6,27,1990,157920733
18,Drama,6,13,1991,0
35,Comedy,10,23,1991,0
12,Adventure,6,14,1991,390493908
12,Adventure,2,7,1992,0
18,Drama,2,21,1992,4651977
37,Western,8,7,1992,159157447
18,Drama,12,11,1992,243240178
35,Comedy,7,1,1992,107458785
18,Drama,12,22,1993,206678440
28,Action,5,14,1993,1200000
28,Action,8,27,1993,3283371
18,Drama,4,17,1993,0
35,Comedy,6,4,1993,0
35,Comedy,2,4,1993,0
35,Comedy,9,30,1993,154864401
35,Comedy,9,13,1994,3151130
99,Documentary,9,12,1994,7830611
28,Action,10,7,1994,170362582
35,Comedy,4,29,1994,4350774
12,Adventure,9,9,1994,305070
35,Comedy,12,16,1994,247275374
14,Fantasy,6,17,1994,0
18,Drama,9,9,1995,0
18,Drama,12,29,1995,39363635
12,Adventure,4,13,1995,31596911
18,Drama,6,30,1995,355237933
18,Drama,9,22,1995,20350754
35,Comedy,4,26,1995,28215918
35,Comedy,9,20,1996,116400000
35,Comedy,4,3,1996,0
35,Comedy,3,22,1996,4939939
18,Drama,12,18,1996,0
35,Comedy,2,16,1996,41205099
18,Drama,10,16,1996,5731103
12,Adventure,10,11,1996,75000000
35,Comedy,7,4,1996,25023434
18,Drama,8,30,1996,24475416
14,Fantasy,5,31,1996,115267375
18,Drama,12,25,1996,0
18,Drama,1,21,1996,0
18,Drama,6,13,1997,0
18,Drama,10,10,1997,0
18,Drama,3,21,1997,60000000
18,Drama,9,7,1997,0
18,Drama,6,20,1997,0
18,Drama,12,25,1997,5684789
18,Drama,10,9,1997,0
18,Drama,5,14,1997,3263585
35,Comedy,9,6,1997,0
18,Drama,9,27,1997,8038061
35,Comedy,3,21,1997,181000000
18,Drama,9,11,1997,43101594
35,Comedy,1,1,1997,0
18,Drama,12,5,1997,225933435
99,Documentary,10,18,1997,0
35,Comedy,8,13,1997,257850122
18,Drama,10,30,1998,23875127
35,Comedy,6,12,1998,0
35,Comedy,11,6,1998,185991646
53,Thriller,1,16,1998,19870567
18,Drama,8,7,1998,40542
10751,Family,1,1,1998,0
18,Drama,9,11,1998,777423
18,Drama,10,7,1998,0
18,Drama,5,1,1998,21567853
35,Comedy,10,1,1998,30331165
18,Drama,3,5,1998,56702901
18,Drama,5,20,1998,0
18,Drama,4,8,1998,0
18,Drama,1,21,1998,6451628
35,Comedy,2,20,1998,45779
18,Drama,5,21,1998,0
