genreCat,year,revenue
Drama,1916,8394751
Comedy,1933,2200000
Drama,1941,6000000
Drama,1945,20132000
Western,1946,20400000
Western,1948,9012000
Western,1949,5400000
Drama,1951,8000000
Western,1952,8000000
Drama,1953,36000000
Drama,1955,0
Drama,1956,14400000
Drama,1957,1000000
Drama,1959,12800000
Drama,1960,10400000
Drama,1961,7600000
Western,1962,8000000
Drama,1964,0
Western,1964,14500000
Western,1966,6000000
Science Fiction,1968,2500000
Western,1968,14741508
Horror,1968,30000000
Comedy,1969,27000000
Drama,1969,44785053
Comedy,1971,11833696
Drama,1972,0
Comedy,1972,18016290
Western,1973,26700000
Horror,1974,30859000
Comedy,1975,41833347
Drama,1975,108981275
Drama,1976,140925024
Comedy,1976,0
Drama,1977,0
Comedy,1977,0
Romance,1978,181813770
Comedy,1978,141000000
Comedy,1980,123299883
Horror,1980,21378361
Drama,1980,23000000
Science Fiction,1980,27107960
Fantasy,1981,14110013
Comedy,1981,159698658
Horror,1981,29400000
Drama,1981,0
Comedy,1982,96794517
Horror,1982,122200000
Drama,1982,53977250
Comedy,1983,91646141
Western,1983,0
Horror,1984,25504513
Drama,1984,90815558
Drama,1985,274791214
Horror,1985,29999213
Science Fiction,1985,0
Horror,1986,8025872
Adventure,1986,0
Science Fiction,1986,4884663
Drama,1986,52293982
Comedy,1987,0
Drama,1987,0
Horror,1987,28564027
Action,1988,11806119
Drama,1988,424642157
Comedy,1988,216614388
Drama,1989,273155561
War,1989,26828365
Comedy,1989,49797148
Horror,1990,0
Comedy,1990,201957688
Adventure,1990,157920733
Drama,1991,0
Comedy,1991,0
Adventure,1991,390493908
Adventure,1992,0
Drama,1992,247892155
Western,1992,159157447
Comedy,1992,107458785
Drama,1993,206678440
Action,1993,4483371
Comedy,1993,154864401
Comedy,1994,254777278
Documentary,1994,7830611
Action,1994,170362582
Adventure,1994,305070
Fantasy,1994,0
Drama,1995,414952322
Adventure,1995,31596911
Comedy,1995,28215918
Comedy,1996,187568472
Drama,1996,30206519
Adventure,1996,75000000
Fantasy,1996,115267375
Drama,1997,346021464
Comedy,1997,438850122
Drama,1998,115541154
Comedy,1998,216368590
Thriller,1998,19870567
Science Fiction,1998,13100000
Comedy,1999,168282284
Drama,1999,690627567
Documentary,1999,500000
Horror,1999,50041732
Comedy,2000,24362772
Horror,2000,53302314
Drama,2000,619042
Comedy,2000,13700000
Comedy,2000,90449929
Drama,2000,0
Thriller,2000,5217498
Comedy,2000,0
Horror,2000,38574362
Romance,2000,0
Documentary,2000,21268532
Drama,2000,7060876
Comedy,2000,73180723
Comedy,2000,59827328
Comedy,2000,0
Comedy,2000,0
Drama,2000,0
Comedy,2000,113916474
Comedy,2000,149270999
Drama,2000,256271286
Science Fiction,2000,60874615
Drama,2000,80049764
Drama,2000,48814909
Comedy,2000,0
Drama,2000,136706683
Thriller,2000,32168970
Drama,2000,325756637
Comedy,2000,37036004
Science Fiction,2000,96085477
Drama,2001,87713825
Drama,2001,0
Thriller,2001,100020092
Comedy,2001,66468332
Drama,2001,1667192
