genreCat,year,revenue
Action,1988,11806119
Action,1993,4483371
Action,1994,170362582
Action,2001,54744738
Action,2003,98185582
Action,2003,58795814
Action,2004,46546197
Action,2005,76932943
Action,2006,23321954
Action,2008,85416905
Action,2009,87784194
Action,2010,136000000
Action,2012,15608545
Action,2015,1506249360
Action,2015,311256926
Action,2016,46069568
Action,2016,14708696
Adventure,1990,157920733
Adventure,1991,390493908
Adventure,1994,305070
Adventure,1995,31596911
Adventure,1996,75000000
Adventure,2002,51842679
Adventure,2003,212011111
Adventure,2008,38105395
Adventure,2012,301000000
Animation,2015,246233113
Comedy,1933,2200000
Comedy,1969,27000000
Comedy,1971,11833696
Comedy,1972,18016290
Comedy,1975,41833347
Comedy,1978,141000000
Comedy,1980,123299883
Comedy,1981,159698658
Comedy,1982,96794517
Comedy,1983,91646141
Comedy,1988,216614388
Comedy,1989,49797148
Comedy,1990,201957688
Comedy,1992,107458785
Comedy,1993,154864401
Comedy,1994,254777278
Comedy,1995,28215918
Comedy,1996,187568472
Comedy,1997,438850122
Comedy,1998,216368590
Comedy,1999,168282284
Comedy,2000,24362772
Comedy,2000,13700000
Comedy,2000,90449929
Comedy,2000,73180723
Comedy,2000,59827328
Comedy,2000,113916474
Comedy,2000,149270999
Comedy,2000,37036004
Comedy,2001,66468332
Comedy,2001,33788161
Comedy,2001,60780981
Comedy,2001,94728529
Comedy,2001,141774679
Comedy,2001,31155435
Comedy,2001,10013424
Comedy,2001,141220678
Comedy,2001,14782676
Comedy,2002,33526835
Comedy,2002,19184015
Comedy,2002,4245870
Comedy,2002,8586376
Comedy,2003,220673217
Comedy,2003,190212113
Comedy,2003,33828318
Comedy,2003,39267515
Comedy,2003,132675402
Comedy,2003,1675706
Comedy,2003,87055349
Comedy,2003,110230332
Comedy,2003,124914842
Comedy,2003,101564935
Comedy,2004,28818995
Comedy,2004,113086475
Comedy,2004,14000000
Comedy,2004,11341016
Comedy,2004,167722310
Comedy,2004,29331068
Comedy,2004,20796847
Comedy,2004,90574188
Comedy,2004,51
Comedy,2004,13395939
Comedy,2004,129042871
Comedy,2004,70067909
Comedy,2004,30411183
Comedy,2004,55041367
Comedy,2004,46118097
Comedy,2005,42886719
Comedy,2005,202026112
Comedy,2005,18637690
Comedy,2005,93772522
Comedy,2005,129181830
Comedy,2005,22400154
Comedy,2006,6538177
Comedy,2006,162966177
Comedy,2006,88715192
Comedy,2006,26888376
Comedy,2006,178262620
Comedy,2006,19179969
Comedy,2006,261572744
Comedy,2006,48548426
Comedy,2007,121463226
Comedy,2007,13620075
Comedy,2007,92601050
Comedy,2007,69307224
Comedy,2007,69485490
Comedy,2007,22179430
Comedy,2008,69497
Comedy,2008,6230276
Comedy,2008,63833449
Comedy,2008,225990978
Comedy,2008,53191886
Comedy,2008,42105111
Comedy,2008,33472850
Comedy,2008,128107642
Comedy,2008,92380927
Comedy,2008,84646831
Comedy,2008,6575282
Comedy,2009,91636986
Comedy,2009,136267476
Comedy,2009,9069
Comedy,2009,17164377
Comedy,2009,114663461
Comedy,2009,459270619
Comedy,2009,85280250
Comedy,2009,6405245
Comedy,2009,10848783
Comedy,2009,40105542
Comedy,2009,29010817
Comedy,2010,74952305
Comedy,2010,86387857
Comedy,2010,237382724
Comedy,2010,563706
Comedy,2010,271430189
Comedy,2010,453079
Comedy,2010,152263880
Comedy,2010,39340177
Comedy,2010,21409028
Comedy,2010,90029656
Comedy,2011,30905
Comedy,2011,149673788
Comedy,2011,75450437
Comedy,2011,6861102
Comedy,2011,83160734
Comedy,2011,7448385
Comedy,2011,254455986
Comedy,2011,35387212
Comedy,2011,216197492
Comedy,2011,37710610
Comedy,2011,10130000
Comedy,2011,26121638
Comedy,2011,34942188
Comedy,2012,73100172
Comedy,2012,41863726
Comedy,2012,119772232
Comedy,2012,1243961
Comedy,2012,24159934
Comedy,2012,88058786
Comedy,2012,53909751
Comedy,2012,54819301
Comedy,2012,11417362
Comedy,2012,68267862
Comedy,2012,104907746
Comedy,2012,179379533
Comedy,2012,58058367
Comedy,2012,234989584
Comedy,2013,151831537
Comedy,2013,134402450
Comedy,2013,78378744
Comedy,2013,51164106
Comedy,2013,71625195
Comedy,2013,246984278
Comedy,2013,32438988
Comedy,2013,44000000
Comedy,2013,44907260
Comedy,2013,7800000
Comedy,2013,173649015
Comedy,2013,22456509
Comedy,2013,27437881
Comedy,2013,48065672
Comedy,2013,21819348
Comedy,2014,100525432
Comedy,2014,123494610
Comedy,2014,107670357
Comedy,2014,126069509
Comedy,2014,169837010
Comedy,2014,54837234
Comedy,2014,14348529
Comedy,2014,268157400
Comedy,2014,45000
Comedy,2014,10429707
Comedy,2014,136621271
Comedy,2015,217022588
Comedy,2015,242786137
Comedy,2015,104384188
Comedy,2015,14431253
Comedy,2015,140795793
Comedy,2015,111811453
Comedy,2015,12314651
Comedy,2015,194564672
Comedy,2016,183936074
